scenario,seed,simulation_time_seconds,intersection_id,queue_length,vehicle_count,mean_speed_mps,throughput_vehicles,tls_phase
low,42,1380,cluster_367567689_6510829338,0.5,0.7,2.2990571447764507,2,0
low,42,1380,cluster_368825355_772192674_9246233634,1.0166666666666666,1.4,1.9541530670131197,4,0
low,42,1380,cluster_370330726_6544892748_772027151,0.5,0.5333333333333333,0.304670673063861,2,0
low,42,1380,cluster_482350926_6510829336_772206492,0.7666666666666667,1.8,4.494616670415127,7,0
low,42,1380,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.016666666666666666,12.291198024437731,0,0
low,42,1380,cluster_6510829335_772038986,0.03333333333333333,0.9166666666666666,8.10848584884981,5,0
low,42,1380,cluster_771987417_772142429_772237953_8821814562,0.0,0.21666666666666667,9.394130107871511,4,0
low,42,1380,cluster_772070536_772172281,0.5333333333333333,0.6666666666666666,1.843848130297323,2,0
low,42,1380,cluster_772156519_772183645,0.21666666666666667,0.35,2.5278689589870758,3,0
low,42,1380,joinedS_3841825190_cluster_367567700_772275036,0.0,0.1,8.11131594332012,0,1
low,42,1440,6510829334,0.0,0.18333333333333332,9.83773579743389,4,2
low,42,1440,772009950,0.0,0.16666666666666666,12.370384400528824,1,2
